complaint_text,department,sentiment
Huge potholes near railway station,Roads,Critical
Road completely damaged near market,Roads,Negative
Waterlogging making road unusable,Roads,Negative
Broken divider causing accidents,Roads,Critical
Please repair road near school,Roads,Neutral
Road surface cracked badly,Roads,Negative
Large potholes damaging vehicles,Roads,Critical
Road repaired quickly after complaint,Roads,Positive
Street road badly damaged after rain,Roads,Negative
Road sinking near bridge,Roads,Critical
Open manhole on roadside,Roads,Critical
Construction work blocking road access,Roads,Negative
Road full of potholes causing traffic,Roads,Critical
Flyover road damaged badly,Roads,Negative
Uneven road causing bike accidents,Roads,Critical
Please fix broken road near hospital,Roads,Neutral
Road repair work completed successfully,Roads,Positive
Cracked road near residential area,Roads,Negative
Road flooded after heavy rain,Roads,Negative
Dangerous potholes near signal,Roads,Critical
Road collapsed partially near school,Roads,Critical
Street damaged because of pipeline work,Roads,Negative
Road repair delayed for many weeks,Roads,Negative
Large cracks appearing on road,Roads,Negative
Broken speed breaker causing danger,Roads,Critical
Road maintenance completed properly,Roads,Positive
Potholes increasing every day,Roads,Critical
Bad road condition near market,Roads,Negative
Road blocked because of digging work,Roads,Negative
Vehicles getting damaged due to road,Roads,Critical
Road near society entrance broken,Roads,Negative
Please repair potholes immediately,Roads,Neutral
Road became slippery after rainfall,Roads,Negative
Dangerous road condition near college,Roads,Critical
Street filled with water after rain,Roads,Negative
Road repair completed on time,Roads,Positive
Heavy traffic because road is damaged,Roads,Negative
Road cracked near bus stop,Roads,Negative
Bridge road surface damaged,Roads,Critical
Road unsafe for school children,Roads,Critical
Potholes near highway causing accidents,Roads,Critical
Roadside barrier broken badly,Roads,Negative
Damaged road causing vehicle punctures,Roads,Negative
Road construction incomplete,Roads,Negative
Street repair work appreciated,Roads,Positive
Road damaged due to drainage issue,Roads,Negative
Potholes filled temporarily but reopened,Roads,Negative
Broken road near traffic junction,Roads,Critical
Road quality poor after repair,Roads,Negative
Unsafe cracked road near flyover,Roads,Critical
Road full of dangerous potholes near station,Roads,Critical
Road collapsed after pipe leakage near bridge,Roads,Critical
Huge road crack causing traffic accidents,Roads,Critical
Damaged road near hospital causing ambulance delays,Roads,Critical
Broken road divider increasing accident risk,Roads,Critical
Deep potholes making driving unsafe,Roads,Critical
Road severely damaged near traffic junction,Roads,Critical
Collapsed road section near school,Roads,Critical
Road surface broken near flyover,Roads,Critical
Dangerous potholes near bus stop,Roads,Critical
Road caved in after heavy rainfall,Roads,Critical
Major road damage causing traffic jams,Roads,Critical
Broken road edge near bridge,Roads,Critical
Road damaged badly near railway crossing,Roads,Critical
Severe potholes damaging vehicles,Roads,Critical
Cracked road near market causing accidents,Roads,Critical
Road collapse near drainage work,Roads,Critical
Broken road near signal creating safety risk,Roads,Critical
Road sinking near underpass,Roads,Critical
Huge potholes near residential colony,Roads,Critical
Road condition poor near shopping area,Roads,Negative
Road damaged causing inconvenience,Roads,Negative
Uneven road near signal,Roads,Negative
Street road full of cracks,Roads,Negative
Road maintenance delayed again,Roads,Negative
Poor road quality near bridge,Roads,Negative
Damaged road slowing daily traffic,Roads,Negative
Broken road near market,Roads,Negative
Roadside patchwork incomplete,Roads,Negative
Road repair taking too long,Roads,Negative
Road badly maintained near station,Roads,Negative
Cracked road making driving uncomfortable,Roads,Negative
Road surface uneven near school,Roads,Negative
Damaged street road near colony,Roads,Negative
Poor road construction quality,Roads,Negative
Road repair work unfinished,Roads,Negative
Bad road condition near office area,Roads,Negative
Road cracks spreading quickly,Roads,Negative
Road maintenance ignored,Roads,Negative
Damaged road affecting daily travel,Roads,Negative
Road repaired properly near bridge,Roads,Positive
Fresh road surface completed,Roads,Positive
Smooth road after maintenance work,Roads,Positive
Potholes fixed quickly,Roads,Positive
Road improvement appreciated by residents,Roads,Positive
Road resurfacing done successfully,Roads,Positive
Street repair completed on time,Roads,Positive
Road maintenance solved traffic issue,Roads,Positive
Road quality much better now,Roads,Positive
Road repaired neatly near school,Roads,Positive
Road broken badly near railway bridge,Roads,Critical
Huge pothole causing bike accidents,Roads,Critical
Road damaged near hospital gate,Roads,Critical
Collapsed roadside near drainage,Roads,Critical
Dangerous road crack near flyover,Roads,Critical
Broken divider near market creating accident risk,Roads,Critical
Road surface severely damaged after rain,Roads,Critical
Large potholes near signal,Roads,Critical
Road collapse creating major traffic issue,Roads,Critical
Damaged road causing vehicle damage,Roads,Critical
Road near school unsafe for vehicles,Roads,Critical
Broken road causing traffic accidents,Roads,Critical
Deep potholes near station,Roads,Critical
Severely cracked road near bridge,Roads,Critical
Road washed away after rainfall,Roads,Critical
Dangerous road condition near market,Roads,Critical
Road sinking creating accident risk,Roads,Critical
Broken road near underpass,Roads,Critical
Road heavily damaged near junction,Roads,Critical
Huge cracks on highway road,Roads,Critical
Poor road maintenance near colony,Roads,Negative
Road damaged near bus stop,Roads,Negative
Uneven road surface affecting traffic,Roads,Negative
Road cracks near shopping center,Roads,Negative
Damaged street creating inconvenience,Roads,Negative
Road maintenance delayed near market,Roads,Negative
Broken roadside pavement,Roads,Negative
Road repair work incomplete,Roads,Negative
Poor quality road construction,Roads,Negative
Road surface damaged near signal,Roads,Negative
Bad road condition slowing traffic,Roads,Negative
Road not repaired despite complaints,Roads,Negative
Cracked road near office area,Roads,Negative
Roadside damage causing discomfort,Roads,Negative
Poor road surface near school,Roads,Negative
Street road damaged after repair,Roads,Negative
Road maintenance ignored near station,Roads,Negative
Damaged road making commute difficult,Roads,Negative
Uneven road causing travel inconvenience,Roads,Negative
Road cracks worsening daily,Roads,Negative
Road repaired quickly near colony,Roads,Positive
Fresh road construction completed,Roads,Positive
Smooth travel after road repair,Roads,Positive
Potholes fixed near signal,Roads,Positive
Road maintenance completed properly,Roads,Positive
Road resurfacing improved conditions,Roads,Positive
Street road fixed successfully,Roads,Positive
Road repair appreciated by locals,Roads,Positive
Road quality improved significantly,Roads,Positive
Newly repaired road looks smooth,Roads,Positive
Road collapsed near traffic signal,Roads,Critical
Large potholes causing vehicle damage,Roads,Critical
Dangerous cracks near railway crossing,Roads,Critical
Road badly broken after heavy rain,Roads,Critical
Broken divider near highway,Roads,Critical
Road damage causing accident risk,Roads,Critical
Huge potholes near residential area,Roads,Critical
Road sinking near market,Roads,Critical
Road collapsed near bus stand,Roads,Critical
Severe road damage near flyover,Roads,Critical
Dangerous potholes slowing traffic,Roads,Critical
Road crack near bridge becoming wider,Roads,Critical
Road surface collapsed near hospital,Roads,Critical
Major potholes damaging bikes,Roads,Critical
Road heavily damaged near junction,Roads,Critical
Unsafe road condition near signal,Roads,Critical
Broken road edge near drainage,Roads,Critical
Damaged road causing traffic accidents,Roads,Critical
Road washed out after rainfall,Roads,Critical
Deep potholes near school,Roads,Critical
Road maintenance poor near station,Roads,Negative
Uneven road surface near market,Roads,Negative
Road damaged after drainage work,Roads,Negative
Poorly maintained road near bridge,Roads,Negative
Road cracks increasing rapidly,Roads,Negative
Damaged road making driving difficult,Roads,Negative
Roadside patchwork unfinished,Roads,Negative
Bad road quality near signal,Roads,Negative
Road condition worsening daily,Roads,Negative
Street road damaged near colony,Roads,Negative
Road repair delayed near school,Roads,Negative
Broken roadside pavement near market,Roads,Negative
Road surface uneven after repair,Roads,Negative
Damaged road causing traffic inconvenience,Roads,Negative
Poor road construction near station,Roads,Negative
Road maintenance incomplete,Roads,Negative
Bad road condition affecting commuters,Roads,Negative
Cracked road near shopping area,Roads,Negative
Road quality poor after rainfall,Roads,Negative
Road repair taking too long,Roads,Negative
Road repaired successfully after complaint,Roads,Positive
Freshly repaired road near bridge,Roads,Positive
Smooth road after maintenance,Roads,Positive
Potholes repaired properly,Roads,Positive
Road quality improved near market,Roads,Positive
Road resurfacing completed successfully,Roads,Positive
Street repair completed quickly,Roads,Positive
Residents happy after road repair,Roads,Positive
Road maintenance solved issue,Roads,Positive
New road construction looks good,Roads,Positive
Please inspect road near station,Roads,Neutral
Road repair request near school,Roads,Neutral
Kindly check road condition,Roads,Neutral
Need inspection of damaged road,Roads,Neutral
Please review pothole issue,Roads,Neutral
Request for road maintenance,Roads,Neutral
Road inspection required near market,Roads,Neutral
Kindly improve road condition,Roads,Neutral
Need repair assessment for road,Roads,Neutral
Please check cracked road,Roads,Neutral
Road maintenance needed near bridge,Roads,Neutral
Request for road improvement,Roads,Neutral
Please examine road surface,Roads,Neutral
Need road quality inspection,Roads,Neutral
Kindly repair damaged section,Roads,Neutral
Road inspection scheduled near railway station,Roads,Neutral
Authorities checking damaged road condition,Roads,Neutral
Road complaint received for review,Roads,Neutral
Road maintenance request under process,Roads,Neutral
Pothole inspection completed near market,Roads,Neutral
Road survey team visited area,Roads,Neutral
Temporary road work announced,Roads,Neutral
